account_number,customer_cif,customer_branch_ifsc,account_category,account_type,account_status,account_opening_date,inoperative_status_date,credit_summation_period,debit_summation_period
3906724442931,552126147876,CNRB031788,Salary,Regular,Active,29-03-2023,,3728640.13,6255571.1
9199365012022,957989786003,UTIB019710,Recurring Deposit,BSBD,Active,13-05-2022,,190148.96,13548198.83
272804251846,427979789165,ICIC072700,Current,Regular,Active,24-01-2020,,1501252.33,9065159.65
9269624957809,961825242710,UTIB060765,Current,Basic,Active,30-10-2023,,420260.72,403943.8
9133416244173,961825242710,UTIB060765,Savings,Premium,Active,12-10-2016,,6201901.98,6344781.2
46005929096,356175208746,BKID011037,Fixed Deposit,Basic,Active,22-09-2017,,765541.55,1147179.36
58740079642534,286757508076,HDFC017458,Current,Basic,Active,23-12-2023,,534881.68,9282841.84
65786857705135,286757508076,HDFC017458,Savings,Premium,Active,14-01-2022,,487284.09,10738867.49
29554442418723,202802468872,IOBA080373,Savings,BSBD,Active,01-08-2023,,3576444.07,2856019.31
978206059747,563718601548,IOBA057743,Current,Premium,Active,27-11-2024,,422901.59,763384.31
1633670555567073,966862384610,PUNB038799,Salary,Premium,Active,14-09-2024,,1207511.52,5901539.42
4046052892309707,966862384610,PUNB038799,Savings,Basic,Active,19-12-2023,,652425.65,2156695.85
96706579775056,397109192186,KKBK093008,NRE,Regular,Active,16-09-2019,,4474511.99,5038243.26
5146006476605,397109192186,KKBK093008,NRE,Premium,Active,23-03-2019,,1807290.06,2475070.04
83052427791,871428545290,SBIN037672,Savings,Regular,Active,02-03-2024,,433769.98,700868.8
1238732866194229,448535696130,PUNB015196,Savings,Premium,Active,25-04-2023,,2542880.53,3855598.96
751094094727,384616220940,BARB071604,Recurring Deposit,BSBD,Dormant,21-09-2018,16-12-2018,335339.41,46056.7
460623490328,362494979597,IOBA054419,Current,Regular,Active,09-04-2022,,659705.14,719578.29
6729863541888,821500873854,KKBK037063,Salary,Premium,Active,21-10-2024,,316450.96,1075681.93
88454932149477,821500873854,KKBK037063,Current,Basic,Active,18-03-2024,,1579395.36,3291890.24
6769299792984975,471023581202,PUNB071527,Savings,Basic,Active,05-10-2021,,1459024.51,1619725.46
22926079916,197267014080,IOBA014272,Savings,Regular,Active,05-03-2020,,1708820.38,1658842.41
768993745602,188137560389,ICIC056721,Fixed Deposit,Corporate,Active,10-12-2024,,12869832.38,14756504.82
392483169418,188137560389,ICIC056721,Fixed Deposit,Regular,Active,02-07-2023,,833188.05,4188704.85
78600790035603,780458408943,BKID094897,Salary,Basic,Active,07-03-2023,,377473.31,13975005.15
7153568841199,780458408943,BKID094897,Savings,BSBD,Active,04-06-2024,,4437763.1,3731246.97
22153594587532,628409369928,BKID081931,Recurring Deposit,BSBD,Dormant,22-02-2024,27-02-2025,0.0,75478.38
6321044762707,875670521927,CNRB027632,Recurring Deposit,Basic,Active,30-04-2023,,28181.32,12948848.35
61267342551,312933912166,KKBK043605,Fixed Deposit,Regular,Active,16-01-2020,,1107591.54,1291912.11
422230148380,312933912166,KKBK043605,Savings,Basic,Active,13-05-2020,,461365.77,1363158.68
9227673378272,826858616540,UTIB052252,Salary,BSBD,Dormant,20-12-2021,30-01-2022,4556.34,73236.52
33325868943,830077101394,IOBA010561,Current,Premium,Active,30-10-2024,,1649795.44,14109734.43
4581274123188,830077101394,IOBA010561,Salary,Basic,Active,19-10-2024,,1299904.63,2106434.9
28798486623,207157358355,KKBK019786,Salary,Premium,Active,28-08-2024,,1305014.57,2856374.08
7189343515634,962218814920,CNRB067292,Current,Regular,Active,18-07-2024,,9285092.51,13435132.99
677937834888,388335837406,BKID055762,Savings,Basic,Active,14-08-2024,,2770289.46,2149435.25
48924737298,388335837406,BKID055762,Savings,BSBD,Active,17-06-2023,,1423134.93,8975465.89
9201371749583,918213250911,UTIB053229,Salary,Regular,Active,24-04-2017,,5438123.35,5653651.36
36103930558339,280981065296,IOBA028508,Savings,BSBD,Active,18-06-2024,,5138089.33,5812850.84
635597339478,280981065296,IOBA028508,Fixed Deposit,Regular,Active,02-02-2023,,880276.7,10130311.81
85757583030264,598818299877,HDFC023907,Recurring Deposit,BSBD,Active,29-06-2024,,1156146.72,1267495.28
3946345057708,155661467965,CNRB028009,Recurring Deposit,Basic,Active,13-01-2022,,4573822.47,4805804.02
81618706844624,232899555128,HDFC058623,Savings,Regular,Active,09-08-2017,,1271810.7,3390390.12
69819775509061,232899555128,HDFC058623,Salary,Regular,Active,19-06-2020,,1580312.12,2406684.8
57470514140262,407474850174,BKID036781,Recurring Deposit,Premium,Active,20-05-2024,,2549229.61,2278076.74
43219407187474,909330639711,CNRB041225,Fixed Deposit,BSBD,Active,22-09-2024,,909699.68,2951847.7
45360996530490,909330639711,CNRB041225,Current,BSBD,Active,04-04-2019,,4088653.84,4576196.95
3730362791596297,455566797129,PUNB048499,Current,Basic,Active,21-03-2020,,7015499.94,6452115.09
2683980988719077,455566797129,PUNB048499,Savings,BSBD,Dormant,26-05-2023,29-05-2024,186470.47,0.0
10166343361421,809408551281,CNRB013613,Fixed Deposit,Corporate,Active,20-07-2024,,4384071.08,8781134.62
8321404249131,809408551281,CNRB013613,Current,Regular,Active,24-11-2020,,6892446.81,9162806.89
827484110756,332805120469,KKBK056367,Salary,Premium,Active,03-12-2024,,3549399.29,3323338.84
184963358714,156673114300,ICIC073397,Fixed Deposit,Basic,Active,24-09-2018,,1747708.66,1790455.79
9983736639473,717024468395,CNRB042320,Savings,Premium,Active,07-04-2023,,1618486.14,1210769.58
83439247916268,164933822742,HDFC099202,NRO,Regular,Active,05-02-2019,,4244944.19,3902098.06
505050637883,445662465609,KKBK020301,Fixed Deposit,Premium,Active,26-07-2023,,292696.42,1588161.89
68825877750,445662465609,KKBK020301,Fixed Deposit,Regular,Active,16-10-2024,,988579.25,2580335.46
323868878327,306894921590,ICIC095009,Recurring Deposit,Regular,Active,29-03-2021,,489712.05,710515.46
11548511978,503796039124,BKID044999,Current,Regular,Active,06-02-2023,,8637049.78,19741017.58
77200651560,503796039124,BKID044999,Current,Corporate,Active,24-12-2022,,1065727.21,5356568.44
5438347906809,716435337980,BKID033469,Savings,Basic,Active,29-11-2022,,1059744.39,1386192.34
35712892516509,716435337980,BKID033469,Savings,Regular,Active,13-11-2022,,8285259.41,8628821.89
9135539462664,163579691953,UTIB044990,Fixed Deposit,Basic,Active,29-08-2016,,5543043.23,6969639.1
3893978163026817,688437321284,PUNB067574,Salary,BSBD,Active,01-07-2022,,551269.16,1966158.73
8788264365112697,688437321284,PUNB067574,Salary,Premium,Active,04-09-2020,,5034479.39,3557957.02
5653899979641588,304020802247,PUNB098114,Current,BSBD,Active,01-02-2020,,4798565.32,5137475.86
9184807514791,319890230252,UTIB082100,Savings,BSBD,Active,30-03-2022,,1621351.46,2556760.46
982325040241,968191536603,KKBK077490,Savings,Regular,Active,19-02-2023,,1523315.82,2047582.97
59026690275,839125901369,SBIN035456,Savings,BSBD,Active,30-09-2023,,1101486.93,13998660.36
90933305578,839125901369,SBIN035456,Recurring Deposit,Regular,Active,30-12-2023,,954843.73,745098.44
717129954501,843617747862,ICIC072079,Savings,Regular,Active,09-08-2021,,4543038.95,4186336.11
48624008753,419209226548,CNRB075981,Savings,Premium,Active,24-02-2024,,4574737.98,5904507.93
9187453509695,191643902853,UTIB021186,Savings,Regular,Active,24-08-2023,,2739492.36,1464596.85
73193777418743,797316678077,IOBA019770,Current,BSBD,Active,19-04-2018,,635608.3,1038746.89
26964398906958,797316678077,IOBA019770,Fixed Deposit,Premium,Active,02-02-2022,,8258658.92,8561143.96
9259031344033,834537927308,UTIB025678,Savings,BSBD,Active,31-05-2017,,3292282.31,3176425.49
67248798298,622013735179,SBIN049977,Salary,Regular,Active,13-03-2023,,1205379.19,8898069.7
65454409387138,774156275925,HDFC012304,Savings,BSBD,Dormant,04-03-2024,27-09-2024,16760.91,32693.14
8845622898974958,114266795994,PUNB090389,Savings,Basic,Active,29-12-2021,,9030349.74,9145412.59
2800495091867,837460061583,BARB020030,Salary,Regular,Active,21-11-2024,,359407.45,2464846.06
925329044909,960640379677,ICIC060993,Current,Basic,Active,13-10-2023,,2888145.9,2440136.17
3081965616104,331909387454,BARB095684,Salary,Regular,Active,19-10-2020,,1720288.05,862586.49
16820338815,306117726762,IOBA088677,Savings,Regular,Frozen,22-01-2019,,0.0,0.0
51435005595881,263560809632,BARB015392,Current,Corporate,Active,10-08-2024,,5864223.9,23217274.15
70893609033016,263560809632,BARB015392,Fixed Deposit,Regular,Active,14-10-2020,,5179031.12,44498.16
51549318504855,151882308245,KKBK012360,Salary,Premium,Active,23-05-2023,,6147793.05,13642242.78
3558898663707,105696953180,KKBK014780,Salary,Regular,Active,12-07-2024,,772416.52,7654168.37
13119289677,105696953180,KKBK014780,Savings,Basic,Active,26-08-2022,,1171770.47,1385830.21
765718654917,718982651235,KKBK025942,Salary,Basic,Active,13-05-2024,,175668.49,5480517.37
14906487711,486885076516,KKBK099383,Fixed Deposit,Basic,Active,23-04-2022,,782365.6,1201100.42
8670844875243,486885076516,KKBK099383,Current,Basic,Active,09-07-2020,,1205624.98,16879449.4
1102130472157948,680481307586,PUNB044004,Salary,Premium,Active,03-11-2024,,4743358.1,5502929.22
4289424025720757,680481307586,PUNB044004,Savings,BSBD,Active,26-11-2022,,5545850.65,4750579.78
28726746730,608801262290,SBIN037313,Fixed Deposit,Regular,Active,01-05-2022,,9271816.02,7099182.74
39475152267,608801262290,SBIN037313,Fixed Deposit,Regular,Active,04-03-2019,,2962819.45,4795333.71
9266288235089,869810579519,UTIB085693,Savings,Basic,Active,09-11-2022,,399190.51,752253.21
9226122501116,869810579519,UTIB085693,Current,Regular,Active,05-06-2022,,2300674.51,4303928.02
435149574233,896859805308,BKID071340,Fixed Deposit,Corporate,Active,14-08-2024,,5994718.98,8019391.34
296674776090,306447784470,IOBA079291,Savings,Basic,Active,01-01-2024,,4780735.9,4592636.08
93068787626,306447784470,IOBA079291,Fixed Deposit,BSBD,Active,05-07-2024,,1256832.06,7064706.19
2141874169902442,624465348864,PUNB046095,Savings,Basic,Active,12-01-2019,,1392132.57,6638705.32
9142673589933950,624465348864,PUNB046095,Recurring Deposit,Regular,Active,12-05-2021,,766499.6,6601896.7
34527625518300,771274781663,IOBA098226,Savings,BSBD,Active,19-09-2020,,6571553.88,5825959.14
4894005011709,157564993656,BARB069431,Savings,Basic,Active,07-07-2022,,5101825.44,5458626.24
183203029153,711083679372,ICIC092653,Savings,Regular,Active,29-12-2022,,247990.78,14034004.41
545380767942,678949556763,IOBA071309,Salary,Basic,Active,15-11-2024,,923792.07,636932.88
79970230616,678949556763,IOBA071309,Recurring Deposit,Premium,Active,04-02-2024,,870077.7,8764761.77
92457981517,583816330039,CNRB045869,Current,Basic,Active,13-11-2024,,2281956.18,2637052.56
1025058851340,583816330039,CNRB045869,Fixed Deposit,Regular,Active,14-09-2022,,8298705.18,6348067.58
46908346089738,555121677421,CNRB063454,NRE,Premium,Active,09-11-2019,,829471.41,1178124.67
94909583801,555121677421,CNRB063454,NRE,Premium,Active,28-02-2022,,8080493.3,7202995.87
312207200414,103783496133,BKID079958,Current,Basic,Active,19-11-2017,,1365887.2,1563259.51
9226754182553,390533986340,UTIB037180,Fixed Deposit,Corporate,Dormant,19-12-2021,27-05-2022,0.0,0.0
679576113997,487302694608,ICIC043526,Savings,Regular,Active,27-10-2021,,2090302.8,7530914.16
954080463035,738067783030,KKBK046609,Savings,Premium,Active,18-02-2024,,1087500.65,1267109.82
58009832051,738067783030,KKBK046609,Savings,Regular,Active,22-09-2019,,3585025.43,4018691.96
71961712758,448111749947,IOBA066886,Current,BSBD,Frozen,03-03-2024,,0.0,0.0
764440358260,261566223535,IOBA041555,Savings,Premium,Active,11-01-2019,,2150848.37,9132614.24
227857710140,261566223535,IOBA041555,Salary,Premium,Active,06-03-2024,,7414790.65,8796633.15
7341007561132,172260486129,CNRB076499,Salary,BSBD,Active,30-01-2020,,625159.23,1214632.12
42888540479,172260486129,CNRB076499,Recurring Deposit,Premium,Active,20-08-2024,,5549865.1,6842302.71
195144946919,656832040779,ICIC085652,Current,Premium,Active,20-08-2024,,2889829.02,6953461.47
9129584428688,356644880281,UTIB076640,Savings,Basic,Active,10-01-2024,,873244.48,1060441.17
238628354029,426675585182,IOBA077457,Current,Premium,Dormant,08-10-2024,01-12-2024,10988.49,123277.39
8268790543556201,542914720298,PUNB039342,Fixed Deposit,Regular,Active,27-03-2019,,843984.11,7439073.7
4585674549628028,542914720298,PUNB039342,Fixed Deposit,Regular,Active,17-05-2017,,20127469.93,11122456.16
5616354288963,216196967742,IOBA023867,Fixed Deposit,Regular,Active,18-01-2020,,1593999.12,2408164.5
1370970009014,561434334566,KKBK038990,Savings,Regular,Dormant,24-12-2021,31-08-2022,6019.16,5727.88
717710063881,832565995353,BKID011726,Savings,Basic,Dormant,13-10-2021,09-11-2022,0.0,30349.27
2194995554988270,820041939748,PUNB030927,Savings,Regular,Active,22-02-2017,,1513890.48,6372423.72
86609194132,343568404501,SBIN093780,NRE,Regular,Active,20-11-2019,,549688.91,5639814.06
29929345011,343568404501,SBIN093780,NRE,Premium,Active,29-10-2018,,3305137.04,3588377.57
2399153491705,494188509102,BARB010029,Savings,Premium,Active,19-09-2022,,5415598.98,6375856.85
2801950003914310,494689487638,PUNB076986,Current,Regular,Active,14-09-2022,,3992402.99,4634519.33
77537662444120,341647391801,BKID054220,Salary,Regular,Active,08-05-2023,,6629477.2,7738354.26
9305498866867,341647391801,BKID054220,Current,Premium,Active,04-07-2018,,185748.88,1429668.09
318767561610,231476568357,ICIC053513,Recurring Deposit,Basic,Active,22-12-2024,,2129921.54,1931247.95
39368785601,898977259383,CNRB063351,Recurring Deposit,BSBD,Active,24-12-2022,,722571.1,1183837.76
13963447908192,898977259383,CNRB063351,Salary,Basic,Closed,25-04-2023,,0.0,0.0
82934900573400,110131052544,HDFC077520,Current,Corporate,Active,11-01-2020,,1785997.9,7468188.01
49727350016232,280614211864,HDFC039410,NRO,Regular,Active,15-04-2022,,908897.98,14791422.69
83268008583550,280614211864,HDFC039410,NRO,Premium,Active,08-10-2022,,2119513.75,1558776.8
34482102356707,883958426631,HDFC075203,Fixed Deposit,Regular,Active,19-03-2024,,1240351.47,1150053.32
202307262417,959094952073,BARB027505,Fixed Deposit,Premium,Active,25-05-2020,,462261.92,3578541.46
54168243971,864927650579,SBIN082293,Fixed Deposit,Regular,Active,30-03-2024,,848338.7,2405417.55
41250117088,702406349098,KKBK087370,Recurring Deposit,Basic,Active,06-02-2018,,7943042.17,8790235.4
4694339412420747,852593299483,PUNB051955,Salary,BSBD,Active,28-05-2020,,1038536.83,1972710.29
3813640743295321,852593299483,PUNB051955,Current,Basic,Frozen,07-06-2022,,0.0,0.0
9028559777912,231792650241,BARB057853,Savings,Basic,Active,15-08-2019,,864641.72,3467161.52
1267484241945,911103412327,BKID058252,Current,Regular,Active,24-12-2017,,1237032.12,1249152.68
84710702174,911103412327,BKID058252,Savings,Basic,Closed,06-11-2019,,0.0,0.0
9205079392905,596198389708,UTIB056147,Salary,Basic,Active,17-09-2022,,747087.2,1633190.08
9387754050332844,516263402233,PUNB093243,Recurring Deposit,BSBD,Active,14-06-2020,,4853749.61,5903746.44
3785842675359150,516263402233,PUNB093243,Savings,Premium,Active,24-08-2019,,5588034.96,6472469.31
9153446077416,288922835965,UTIB046735,Salary,Premium,Frozen,24-02-2018,,0.0,0.0
783580031794,129648098055,CNRB070527,Salary,Regular,Active,23-07-2023,,647586.81,1329128.05
1529697002396967,546255045499,PUNB030466,Savings,Basic,Active,29-05-2024,,503060.81,1396695.84
3527245118193,537990129966,BARB026446,Current,Regular,Active,12-12-2017,,6166837.73,6040814.21
38907379975764,405421460024,HDFC090160,Savings,Basic,Active,10-10-2022,,1660479.85,2828106.17
69887088222666,405421460024,HDFC090160,Salary,Regular,Active,31-07-2024,,5400386.22,5591633.21
944465683829,368999165042,ICIC027976,Salary,Basic,Active,08-08-2023,,3624309.98,4063690.48
134285671615,368999165042,ICIC027976,Savings,Premium,Active,23-04-2024,,968712.28,2722563.77
35862786732575,176473637954,HDFC015978,Savings,Regular,Active,24-11-2019,,1211597.19,7817452.34
62657681304702,176473637954,HDFC015978,Savings,Basic,Active,08-05-2022,,3545681.52,3678185.31
49994040027663,943088704409,BKID058366,Savings,BSBD,Closed,29-09-2023,,0.0,0.0
99465046058932,943088704409,BKID058366,Salary,Regular,Active,22-12-2024,,1281837.52,2246282.95
431119291182,607896451530,IOBA030890,Current,Corporate,Active,30-12-2024,,17502225.65,10451900.78
88519876480,607896451530,IOBA030890,Fixed Deposit,Corporate,Active,12-09-2020,,161381.11,425431.08
16392809992,180952081341,SBIN045367,Salary,BSBD,Dormant,30-08-2023,21-12-2024,0.0,0.0
5801054066129,965924286520,BKID084326,Current,BSBD,Active,16-04-2024,,9631593.8,9442501.54
964274174882,510442328249,ICIC072936,NRE,Premium,Active,29-04-2024,,1715706.64,13331495.76
4031245872065,739731722160,BARB089441,Fixed Deposit,Regular,Active,04-08-2023,,355096.25,498330.75
470714412569,739731722160,BARB089441,Current,Regular,Active,16-02-2024,,1215813.89,15705666.65
8668408333110289,560982681681,PUNB014538,Fixed Deposit,Regular,Active,26-02-2023,,661239.36,3263966.6
2380927646157574,560982681681,PUNB014538,Current,Regular,Active,12-12-2015,,3314511.57,3955273.63
41484215954789,880236046047,BARB026468,Savings,BSBD,Active,31-05-2022,,1856572.62,2508958.59
9627519333520,880236046047,BARB026468,Savings,Basic,Active,27-12-2021,,966212.35,17586107.95
58052252385,678410532051,SBIN053017,Recurring Deposit,BSBD,Active,06-02-2022,,1442889.87,10411022.3
1828544464250,700451817129,BKID076839,Fixed Deposit,Corporate,Active,05-03-2024,,8246883.69,7845169.68
4480022359812,700451817129,BKID076839,Current,Corporate,Frozen,04-09-2024,,0.0,0.0
595955273300,269913854980,ICIC056694,Fixed Deposit,Corporate,Active,06-08-2021,,548269.13,3835219.08
954528814471,314584911838,KKBK072615,Savings,BSBD,Active,14-05-2024,,6579182.79,6725171.71
687608754624,314584911838,KKBK072615,Salary,Regular,Dormant,14-11-2024,13-02-2025,0.0,0.0
97481591561145,768468576114,IOBA089956,Current,Basic,Active,10-10-2022,,5667325.0,11571820.55
42729107747332,987458106619,HDFC097606,NRE,Regular,Active,15-08-2016,,750811.12,7003284.49
85305655765288,987458106619,HDFC097606,NRE,Premium,Frozen,30-08-2017,,0.0,0.0
74582483087644,139810852683,HDFC019575,Salary,Basic,Active,22-09-2022,,9900718.88,9289595.75
79798651955211,139810852683,HDFC019575,Current,Premium,Active,20-08-2023,,7575922.53,7960028.23
59858459277417,280047382886,CNRB048513,Savings,Premium,Active,28-02-2024,,705897.08,1674465.72
1775774854788116,734121477113,PUNB079719,Recurring Deposit,Basic,Active,13-09-2018,,436365.4,580304.48
67459108310855,393032660729,HDFC015896,Savings,Basic,Active,02-08-2016,,341954.54,1954963.58
72932329760071,988189244194,HDFC066234,Current,BSBD,Active,15-02-2020,,1133827.32,2173833.76
96486084822021,988189244194,HDFC066234,Salary,BSBD,Active,27-07-2024,,1786688.86,2525338.12
305847611923,895088604457,ICIC090111,Current,Regular,Active,19-01-2023,,4887505.55,4430244.16
24803833803,257845050772,SBIN069997,Fixed Deposit,Premium,Active,13-10-2019,,7577276.88,7921135.81
31577337007,257845050772,SBIN069997,Savings,Premium,Frozen,29-12-2023,,0.0,0.0
20818662934847,120253489120,BARB094441,Savings,Premium,Active,27-05-2021,,7058492.13,7455464.38
93414091371,120253489120,BARB094441,Current,Premium,Active,28-01-2021,,442722.59,4725646.32
368016699772,139479548475,BARB056542,Savings,Regular,Active,31-12-2022,,2687733.06,8087507.65
3056508405809,139479548475,BARB056542,Fixed Deposit,BSBD,Active,25-10-2022,,5353228.29,4924939.98
82524399054,626109766845,CNRB057933,Salary,BSBD,Active,23-11-2020,,211193.81,1324996.58
37934718162,563021875144,SBIN057084,Fixed Deposit,Basic,Active,15-04-2024,,1741193.76,4399916.95
9219875719279,926676050206,UTIB096509,Current,BSBD,Dormant,19-04-2015,15-01-2025,166013.5,38885.89
62328932634916,101413793163,HDFC059588,Fixed Deposit,Corporate,Active,09-03-2024,,4437737.76,6911434.47
92146912535202,101413793163,HDFC059588,Fixed Deposit,Regular,Active,05-05-2019,,3866219.76,3960120.82
57365291954285,780781824496,HDFC029750,Fixed Deposit,Corporate,Active,29-09-2022,,1065672.83,10052139.59
91054272934877,834028609737,BARB061650,Fixed Deposit,Regular,Active,29-10-2024,,334637.69,5670711.27
57612647867,983731765246,IOBA041187,Current,BSBD,Active,03-06-2020,,564724.96,1034673.71
793019924767,983731765246,IOBA041187,Savings,BSBD,Active,03-03-2023,,217185.94,1019427.88
9184683303628,321439837926,UTIB023030,Savings,Premium,Active,21-12-2021,,761482.47,12708404.12
7855315152466853,946577102028,PUNB047356,Salary,Regular,Active,26-07-2021,,1521605.65,2848214.61
58251809953472,156541629111,CNRB026063,Current,Regular,Active,25-11-2022,,2776418.65,2903657.16
7495916018481,107121082878,KKBK046145,Fixed Deposit,Basic,Active,31-07-2024,,263760.06,333440.24
26382323536,107121082878,KKBK046145,Savings,Premium,Active,12-07-2024,,1912364.82,2599798.73
27177541439348,166831163112,IOBA070250,Savings,Basic,Active,01-01-2022,,185775.68,12301147.0
369144699958,906708930443,ICIC035961,Fixed Deposit,Regular,Active,15-08-2022,,6300641.2,32516187.7
3828325160345403,191717661692,PUNB087365,Savings,BSBD,Active,01-12-2021,,7049709.22,7658532.78
62476029525,654137072292,KKBK053996,Current,Regular,Active,09-06-2020,,1591756.49,19101383.46
72116963364,198740690766,BARB073864,Savings,Basic,Active,05-07-2023,,6651934.01,5895091.7
97067960591487,198740690766,BARB073864,Salary,BSBD,Active,07-09-2024,,461418.94,5798061.27
92635903358172,127829040931,HDFC054293,Salary,BSBD,Active,14-04-2023,,1360634.28,1368759.91
48726821235234,266976253307,KKBK063968,Fixed Deposit,BSBD,Active,15-07-2019,,4059590.18,4167359.32
24670363528039,305601643064,KKBK078748,Savings,Basic,Active,20-08-2024,,52558.41,10775013.54
96500934950298,870525456224,HDFC021265,Savings,Premium,Active,16-02-2023,,3250228.0,2528293.87
83545060986543,568215749677,BARB084022,Recurring Deposit,BSBD,Closed,29-08-2024,,0.0,0.0
4530209762253,860237839457,BKID048126,Savings,BSBD,Active,25-03-2016,,137870.38,1219575.31
43591145538,860237839457,BKID048126,Savings,Regular,Active,20-11-2019,,1377601.04,2929926.2
5778383511081,140823838429,BARB035843,Salary,Regular,Closed,20-05-2023,,0.0,44537.93
26927016163929,608806038339,CNRB020546,Fixed Deposit,Corporate,Active,15-06-2018,,178343.42,11232520.56
40623488445151,498976169855,HDFC026784,Salary,BSBD,Active,02-06-2024,,3918448.34,5521433.23
95015887853269,498976169855,HDFC026784,Salary,BSBD,Active,13-07-2024,,3563953.07,3422941.23
386652041556,439066057330,CNRB031269,Savings,BSBD,Active,17-10-2024,,642459.67,9540791.16
27334614656,439066057330,CNRB031269,Fixed Deposit,Premium,Closed,03-06-2024,,0.0,0.0
562360004003,495405079763,ICIC057030,Current,Premium,Frozen,26-05-2024,,0.0,0.0
73015863410815,651433617990,CNRB063045,Fixed Deposit,Basic,Dormant,15-06-2020,30-06-2023,0.0,0.0
72950270901957,651433617990,CNRB063045,Fixed Deposit,BSBD,Active,29-08-2024,,1174547.52,927952.36
825023182749,489335378464,ICIC035982,Savings,BSBD,Active,06-05-2021,,382241.89,788567.97
7317044441122102,865396323001,PUNB099123,Savings,Premium,Active,25-10-2023,,1048340.21,3239653.29
9279268134587,924156878512,UTIB022932,Fixed Deposit,Regular,Active,30-09-2023,,1420339.76,1737941.77
