wallet_id,customer_cif,wallet_kyc_category,wallet_status,wallet_opening_date,escrow_account_linked,per_txn_limit,daily_txn_limit,monthly_txn_limit,annual_txn_limit,max_balance_limit,linked_bank_account
WLT380423739996,698870655646,Full KYC,Active,07-05-2017,ESC8583916952730,200000,200000,200000,2400000,200000,9281769540817
WLT302648024220,561696078850,Full KYC,Active,30-12-2019,ESC1742494891389,200000,200000,200000,2400000,200000,855242173697
WLT348730623710,553432053023,Minimum KYC,Active,25-09-2017,ESC5000250325723,10000,10000,10000,120000,10000,168120254574
WLT770568637279,282498041017,Minimum KYC,Active,18-06-2024,ESC3683417069499,10000,10000,10000,120000,10000,266575895604
WLT218294436248,250254171960,Full KYC,Active,23-11-2018,ESC2219555885072,200000,200000,200000,2400000,200000,642306522027
WLT940017546896,408321984656,Minimum KYC,Active,26-06-2022,ESC8490191484572,10000,10000,10000,120000,10000,6709289578807
WLT263764559032,753129305554,Full KYC,Active,11-03-2020,ESC9307463980969,200000,200000,200000,2400000,200000,9232806913284
WLT539223779831,967249729672,Minimum KYC,Active,30-08-2022,ESC1798870264230,10000,10000,10000,120000,10000,83113965545
WLT409478549225,118308472539,Full KYC,Active,25-12-2023,ESC7614447994207,200000,200000,200000,2400000,200000,9117382518425036
WLT880395952606,402078150303,Full KYC,Active,06-09-2023,ESC8181009464201,200000,200000,200000,2400000,200000,73249539766470
WLT470874901962,264104917543,Minimum KYC,Active,26-12-2019,ESC5236233575814,10000,10000,10000,120000,10000,9105735500415
WLT220140209640,471225851170,Full KYC,Active,09-04-2016,ESC3790649084906,200000,200000,200000,2400000,200000,162397389235
WLT208002731687,345372994496,Full KYC,Closed,18-07-2024,ESC1107454918832,200000,200000,200000,2400000,200000,426867970804
WLT523974662561,493049218308,Full KYC,Suspended,19-11-2021,ESC2281687567649,200000,200000,200000,2400000,200000,9164181889378
WLT042350305967,419517736670,Full KYC,Active,20-02-2019,ESC2317431524955,200000,200000,200000,2400000,200000,16558338984
WLT524856141147,354180623448,Full KYC,Closed,13-07-2022,ESC8358325357116,200000,200000,200000,2400000,200000,26918244943030
WLT165421619832,474758798233,Minimum KYC,Suspended,15-12-2023,ESC7786000567098,10000,10000,10000,120000,10000,86732219541881
WLT835107402318,821217896809,Full KYC,Active,10-03-2017,ESC3088960064412,200000,200000,200000,2400000,200000,97144966753
WLT037548384549,631188293772,Minimum KYC,Suspended,08-08-2024,ESC9129481565323,10000,10000,10000,120000,10000,92095371649
WLT859527982702,818727010527,Full KYC,Active,17-01-2024,ESC6139664596238,200000,200000,200000,2400000,200000,930553858601
WLT538258828150,979625100837,Full KYC,Active,13-03-2024,ESC7712351318323,200000,200000,200000,2400000,200000,9250923577768
WLT148267801363,322846232143,Minimum KYC,Active,26-12-2024,ESC6537649118648,10000,10000,10000,120000,10000,64093686619834
WLT475509497328,918213250911,Full KYC,Active,23-06-2018,ESC6600684271228,200000,200000,200000,2400000,200000,9201371749583
WLT013590999428,801150382729,Full KYC,Active,11-01-2024,ESC3958856491718,200000,200000,200000,2400000,200000,9221258221533
WLT342825059177,976532410888,Full KYC,Closed,28-10-2023,ESC7791313402963,200000,200000,200000,2400000,200000,22039560375
WLT906203422414,613707724137,Minimum KYC,Active,10-11-2017,ESC6704404275276,10000,10000,10000,120000,10000,9292302113288
WLT406461914868,169739111123,Minimum KYC,Active,05-04-2021,ESC5696814452984,10000,10000,10000,120000,10000,92175597595
WLT573451570223,582004495152,Minimum KYC,Active,02-06-2022,ESC1934582450069,10000,10000,10000,120000,10000,7782807941014
WLT185430783691,826935640394,Minimum KYC,Active,30-07-2022,ESC8113079898768,10000,10000,10000,120000,10000,478277385171
WLT186826938185,407474850174,Minimum KYC,Active,11-05-2022,ESC5911879802623,10000,10000,10000,120000,10000,57470514140262
WLT914390670920,976922614131,Minimum KYC,Active,30-12-2023,ESC3764394090445,10000,10000,10000,120000,10000,88513224481539
WLT441298988532,448225517248,Minimum KYC,Active,07-08-2018,ESC6222408391573,10000,10000,10000,120000,10000,9178601491392
WLT047811100489,416017691365,Minimum KYC,Active,26-06-2022,ESC2838018536909,10000,10000,10000,120000,10000,63913315426
WLT953605484896,475586887300,Full KYC,Closed,16-11-2024,ESC7375113273273,200000,200000,200000,2400000,200000,9132685887393
WLT930712453303,140067190057,Full KYC,Active,26-09-2023,ESC2579862380990,200000,200000,200000,2400000,200000,32836689448892
WLT537428506820,322081409478,Full KYC,Active,09-08-2022,ESC3583802420988,200000,200000,200000,2400000,200000,6053472120805
WLT096391729746,964564544479,Full KYC,Closed,31-05-2021,ESC2616184917256,200000,200000,200000,2400000,200000,635942019167
WLT248097670422,421509071923,Full KYC,Closed,30-01-2024,ESC5106002368738,200000,200000,200000,2400000,200000,5327418296603126
WLT302235811365,960670610701,Full KYC,Active,23-11-2024,ESC3174070550369,200000,200000,200000,2400000,200000,19984508399389
WLT182112973275,319363396965,Minimum KYC,Active,06-08-2024,ESC9424409096804,10000,10000,10000,120000,10000,416407923968
WLT688159965440,691022152990,Minimum KYC,Active,22-11-2024,ESC5063602996434,10000,10000,10000,120000,10000,9121485392266
WLT755704476927,329524337013,Full KYC,Active,23-07-2020,ESC5306004860383,200000,200000,200000,2400000,200000,733732353338
WLT503236973477,235152242321,Full KYC,Active,28-09-2024,ESC6542308083066,200000,200000,200000,2400000,200000,73174501681
WLT578542826208,341603498757,Full KYC,Active,30-11-2019,ESC3024630503116,200000,200000,200000,2400000,200000,58571103587056
WLT930644818952,770921168566,Minimum KYC,Active,05-12-2022,ESC5024780936134,10000,10000,10000,120000,10000,4040213908702
WLT022232032157,103356707745,Full KYC,Active,21-02-2024,ESC7068658918872,200000,200000,200000,2400000,200000,396013466670
WLT965378709806,190333158105,Minimum KYC,Active,23-07-2024,ESC5717280767844,10000,10000,10000,120000,10000,107661384147
WLT068443745072,246071933564,Full KYC,Active,20-03-2021,ESC2658371725397,200000,200000,200000,2400000,200000,6915383093764
WLT729406395046,262688850188,Minimum KYC,Active,26-10-2020,ESC7589702329950,10000,10000,10000,120000,10000,286794823973
WLT008556836329,116348784864,Minimum KYC,Active,02-09-2022,ESC2304901502096,10000,10000,10000,120000,10000,9230808381832
WLT261715317397,596980804921,Minimum KYC,Active,03-10-2024,ESC5470945603890,10000,10000,10000,120000,10000,4175645560844352
WLT760362651940,415869187897,Full KYC,Active,07-04-2023,ESC8870408871891,200000,200000,200000,2400000,200000,19327803571510
WLT900672992152,167109432352,Full KYC,Suspended,14-03-2019,ESC3828517907293,200000,200000,200000,2400000,200000,20259123012486
WLT874984911846,679629447040,Full KYC,Active,14-08-2019,ESC3383097531513,200000,200000,200000,2400000,200000,24456686512
WLT054391817850,765696734966,Minimum KYC,Active,25-08-2020,ESC1737591574175,10000,10000,10000,120000,10000,941262374244
WLT687637226534,140944232868,Full KYC,Active,16-09-2022,ESC5586747781661,200000,200000,200000,2400000,200000,9159631144920
WLT957554628013,246724746699,Minimum KYC,Closed,10-03-2023,ESC2839221053721,10000,10000,10000,120000,10000,9261740170000
WLT376249004493,526108810084,Minimum KYC,Active,10-04-2017,ESC5775855561086,10000,10000,10000,120000,10000,6436218216369
WLT558486432391,565634630339,Minimum KYC,Active,18-08-2022,ESC3097913558467,10000,10000,10000,120000,10000,8899766953086864
WLT295661606260,468407369311,Full KYC,Active,23-06-2021,ESC9302339090447,200000,200000,200000,2400000,200000,1721615334334750
WLT188735434899,261000344128,Full KYC,Active,12-04-2018,ESC3664417052002,200000,200000,200000,2400000,200000,9185166514271
WLT693365438962,548909588077,Full KYC,Active,22-11-2018,ESC9462396486496,200000,200000,200000,2400000,200000,36673166458
WLT588617752266,723676603800,Full KYC,Active,23-07-2024,ESC1874007702030,200000,200000,200000,2400000,200000,85837748624
WLT751012081782,638278337306,Full KYC,Closed,14-01-2023,ESC4773134283609,200000,200000,200000,2400000,200000,56892019380
WLT665546931199,191066796274,Minimum KYC,Active,25-01-2022,ESC3759220269679,10000,10000,10000,120000,10000,31547400911
WLT978683259732,154007731439,Minimum KYC,Active,12-11-2024,ESC9716522456958,10000,10000,10000,120000,10000,3514416400714238
WLT661925932836,571674320742,Full KYC,Active,21-10-2024,ESC1233317573178,200000,200000,200000,2400000,200000,4802674332310301
WLT030861703283,986739773595,Minimum KYC,Active,06-11-2017,ESC7627877838466,10000,10000,10000,120000,10000,83992447865446
WLT651240695735,397984987110,Minimum KYC,Active,11-09-2022,ESC2508576056084,10000,10000,10000,120000,10000,8956394310184
WLT512622724141,140750810560,Full KYC,Active,14-06-2019,ESC1265905839362,200000,200000,200000,2400000,200000,4111841266782048
WLT082695482638,294485749539,Minimum KYC,Suspended,18-10-2019,ESC4976228273179,10000,10000,10000,120000,10000,9592358434792
WLT177203520694,348277208760,Full KYC,Active,06-08-2024,ESC3049808857710,200000,200000,200000,2400000,200000,43268249326
WLT102880636224,405421460024,Minimum KYC,Active,04-11-2024,ESC5695465504780,10000,10000,10000,120000,10000,38907379975764
WLT694694184520,957989786003,Minimum KYC,Active,03-06-2023,ESC4751519818436,10000,10000,10000,120000,10000,9199365012022
WLT258634984876,671468537682,Full KYC,Active,14-05-2020,ESC5140425831064,200000,200000,200000,2400000,200000,9240104457576
WLT605634535916,195502416345,Full KYC,Active,28-12-2022,ESC7642912576039,200000,200000,200000,2400000,200000,644369262619
WLT373155353576,978154372081,Full KYC,Active,30-11-2019,ESC5372188722343,200000,200000,200000,2400000,200000,2665207732468968
WLT115717593131,711972539803,Minimum KYC,Active,12-01-2025,ESC7784462651512,10000,10000,10000,120000,10000,2751193173280
WLT218992807233,910408741741,Full KYC,Active,22-02-2023,ESC9636252424483,200000,200000,200000,2400000,200000,88250682165
WLT739719723000,379676564119,Full KYC,Active,17-01-2025,ESC5674599573959,200000,200000,200000,2400000,200000,9270169186574
WLT905997524766,973001796990,Minimum KYC,Active,29-05-2024,ESC3633568993269,10000,10000,10000,120000,10000,951649230434
WLT308335578046,206385319764,Full KYC,Active,07-07-2021,ESC2065550005466,200000,200000,200000,2400000,200000,743071567601
WLT355410254018,902175929553,Full KYC,Active,19-05-2022,ESC9238941053754,200000,200000,200000,2400000,200000,62394035033
WLT795693697494,529763326023,Full KYC,Active,09-02-2024,ESC5814168446463,200000,200000,200000,2400000,200000,5205922007661
WLT732779935593,315682887926,Minimum KYC,Active,12-01-2022,ESC9733466276232,10000,10000,10000,120000,10000,234999708267
WLT232038779600,553000144339,Full KYC,Suspended,19-09-2022,ESC4463848320300,200000,200000,200000,2400000,200000,195689437154
WLT519575314945,732486723665,Minimum KYC,Active,15-04-2024,ESC7397413345554,10000,10000,10000,120000,10000,92124843969222
WLT044173503212,301630671664,Minimum KYC,Active,10-07-2024,ESC9894393054579,10000,10000,10000,120000,10000,83382508116668
WLT442388558725,830078221354,Minimum KYC,Active,28-05-2024,ESC3561043531867,10000,10000,10000,120000,10000,25470621980700
WLT537648492581,295587286597,Minimum KYC,Active,22-01-2021,ESC5272000266894,10000,10000,10000,120000,10000,3402615524162312
WLT956898003099,975402538007,Minimum KYC,Active,11-11-2024,ESC7485567587495,10000,10000,10000,120000,10000,36235347487
WLT026985524537,103417802796,Minimum KYC,Active,27-05-2020,ESC9449528758708,10000,10000,10000,120000,10000,3924387948202
WLT221934229241,775761306727,Minimum KYC,Active,09-05-2023,ESC4495836552109,10000,10000,10000,120000,10000,29546769019
WLT959130067225,932094342396,Full KYC,Active,17-05-2021,ESC5615098538691,200000,200000,200000,2400000,200000,42137816660563
WLT992314725843,950014468151,Minimum KYC,Suspended,25-03-2021,ESC6638968042942,10000,10000,10000,120000,10000,30574017607905
WLT521660708142,512810231677,Minimum KYC,Active,21-09-2022,ESC1882846822394,10000,10000,10000,120000,10000,9656653286076894
WLT780441789272,253234497547,Minimum KYC,Active,26-04-2016,ESC7414612430152,10000,10000,10000,120000,10000,704745974236
WLT652695256901,973380316042,Full KYC,Active,01-04-2018,ESC6170100486931,200000,200000,200000,2400000,200000,91647165661
WLT692864420364,105696953180,Full KYC,Active,06-08-2022,ESC2042380903672,200000,200000,200000,2400000,200000,3558898663707
WLT083831621712,535599283355,Full KYC,Active,01-06-2023,ESC1315282753730,200000,200000,200000,2400000,200000,39030649479
WLT050005552367,623286661595,Minimum KYC,Active,30-04-2024,ESC9432631543043,10000,10000,10000,120000,10000,31101061226298
WLT627338026411,492060605772,Full KYC,Active,12-08-2020,ESC1918530885979,200000,200000,200000,2400000,200000,9272832646335
WLT594658896147,254095908050,Minimum KYC,Active,19-08-2021,ESC9275507064010,10000,10000,10000,120000,10000,67784487996785
WLT964166984775,245011679626,Full KYC,Active,16-12-2021,ESC7389137458837,200000,200000,200000,2400000,200000,79291657353
WLT915079784596,140823838429,Minimum KYC,Active,01-02-2024,ESC9658752078466,10000,10000,10000,120000,10000,5778383511081
WLT793289889463,318857497746,Minimum KYC,Active,14-09-2022,ESC8921326005127,10000,10000,10000,120000,10000,9216844217028
WLT735291947928,780894521143,Minimum KYC,Active,07-09-2024,ESC6429975775072,10000,10000,10000,120000,10000,3450193305897
WLT136131511809,263198732925,Minimum KYC,Active,01-05-2020,ESC1502917063159,10000,10000,10000,120000,10000,44507754974
WLT127531932202,772151932583,Full KYC,Active,12-08-2024,ESC6249770070182,200000,200000,200000,2400000,200000,4819563344403
WLT176799901969,173045438068,Minimum KYC,Active,26-05-2022,ESC9523772141258,10000,10000,10000,120000,10000,3663178295255
WLT624684827737,158794288334,Full KYC,Active,08-01-2020,ESC1440530216610,200000,200000,200000,2400000,200000,841942407165
WLT357710177630,367286279905,Full KYC,Active,20-03-2021,ESC5659736534179,200000,200000,200000,2400000,200000,30646664142
WLT782447084749,654429616764,Minimum KYC,Active,12-01-2025,ESC5478917420797,10000,10000,10000,120000,10000,824891503820
WLT073318812149,947699579477,Full KYC,Active,13-05-2017,ESC1763762756968,200000,200000,200000,2400000,200000,8540112425125593
WLT598991825835,770004924635,Minimum KYC,Active,31-03-2020,ESC1753618160460,10000,10000,10000,120000,10000,68895021217
WLT851386339868,758336641777,Minimum KYC,Active,09-04-2024,ESC6676904847850,10000,10000,10000,120000,10000,729792184326
WLT079535316807,131263789436,Minimum KYC,Active,24-11-2021,ESC9185769064819,10000,10000,10000,120000,10000,467423477672
WLT846521087634,829745494536,Full KYC,Active,10-07-2018,ESC9661808227261,200000,200000,200000,2400000,200000,19328338509958
WLT734743618063,210742978938,Minimum KYC,Active,02-05-2017,ESC1928103468297,10000,10000,10000,120000,10000,38291200604
WLT263586139459,939284985138,Full KYC,Closed,31-10-2019,ESC5148450240311,200000,200000,200000,2400000,200000,57610403207987
WLT603042459934,889372427076,Minimum KYC,Active,15-01-2024,ESC2056747323591,10000,10000,10000,120000,10000,641516210914
WLT476325091579,985795722461,Minimum KYC,Active,08-06-2023,ESC8724589620676,10000,10000,10000,120000,10000,75997642430390
WLT221710671764,199278117726,Full KYC,Active,06-05-2024,ESC2523192045729,200000,200000,200000,2400000,200000,318387134178
WLT609360733942,739976346010,Full KYC,Active,12-01-2024,ESC8697050799999,200000,200000,200000,2400000,200000,9462130403706
WLT776737550587,915599305148,Full KYC,Active,10-03-2023,ESC2368751020582,200000,200000,200000,2400000,200000,66886914036996
WLT992730704774,926546045524,Minimum KYC,Active,02-02-2020,ESC4353857553554,10000,10000,10000,120000,10000,779218848972
WLT920248866827,107746112372,Minimum KYC,Active,17-05-2022,ESC3019494362408,10000,10000,10000,120000,10000,88533217682
WLT030345604209,596198389708,Full KYC,Active,18-08-2021,ESC9305151329072,200000,200000,200000,2400000,200000,9205079392905
WLT291096017619,931358079875,Minimum KYC,Active,31-01-2021,ESC2780983356496,10000,10000,10000,120000,10000,3902253795077843
WLT148135082413,364516456565,Full KYC,Active,03-09-2024,ESC7504328856084,200000,200000,200000,2400000,200000,816577260895
WLT084871802044,171701969103,Full KYC,Active,28-03-2020,ESC8327219003355,200000,200000,200000,2400000,200000,53257442319
WLT223426341688,903380217095,Full KYC,Active,08-01-2019,ESC6504595756714,200000,200000,200000,2400000,200000,63067728739674
WLT116377754555,111297240440,Full KYC,Active,02-08-2019,ESC5926009309639,200000,200000,200000,2400000,200000,692313423751
WLT723738202182,241203292323,Minimum KYC,Active,07-05-2022,ESC5724890786269,10000,10000,10000,120000,10000,34944465868
WLT192639002512,679396487640,Minimum KYC,Active,26-06-2024,ESC8684542806785,10000,10000,10000,120000,10000,141256231792
WLT140082274128,651626861138,Minimum KYC,Active,08-07-2021,ESC5607939702210,10000,10000,10000,120000,10000,4865151857630891
WLT811769030938,157414983384,Full KYC,Active,17-12-2022,ESC9744949046593,200000,200000,200000,2400000,200000,43818055847472
WLT800519603521,517662437018,Full KYC,Active,06-04-2021,ESC3078220886821,200000,200000,200000,2400000,200000,55746218262852
WLT615714463028,918433194044,Full KYC,Active,29-11-2022,ESC8992787321599,200000,200000,200000,2400000,200000,5199177763939
WLT428554636618,757170697249,Full KYC,Active,20-10-2024,ESC3067325183375,200000,200000,200000,2400000,200000,79723380505
WLT871398003629,942654278897,Minimum KYC,Active,28-01-2022,ESC4755762613349,10000,10000,10000,120000,10000,6977570332662218
WLT638187277613,222252594486,Minimum KYC,Active,30-12-2021,ESC1907112771800,10000,10000,10000,120000,10000,52813259591
WLT816348077269,921059468218,Minimum KYC,Active,23-11-2022,ESC2157611329864,10000,10000,10000,120000,10000,269189805738
WLT475786684846,681006531228,Full KYC,Active,20-10-2024,ESC1452189004863,200000,200000,200000,2400000,200000,9249594707651
WLT283102608171,542114442714,Full KYC,Active,28-05-2017,ESC8525116974984,200000,200000,200000,2400000,200000,4005884089653
WLT070937111392,651149003363,Full KYC,Active,18-07-2024,ESC8026740689000,200000,200000,200000,2400000,200000,636465132063
WLT854680577199,781025800784,Full KYC,Active,05-04-2023,ESC6559806753028,200000,200000,200000,2400000,200000,9141577912278
WLT865195827958,718672839383,Minimum KYC,Active,09-09-2022,ESC3058517423030,10000,10000,10000,120000,10000,792740805704
WLT308364131290,441009032217,Full KYC,Suspended,05-01-2023,ESC8271174940834,200000,200000,200000,2400000,200000,9140613728341
WLT538471986259,647899384715,Minimum KYC,Active,22-11-2021,ESC4282642657748,10000,10000,10000,120000,10000,4713034911059
WLT267150177437,543242777699,Minimum KYC,Active,06-04-2024,ESC7076959283421,10000,10000,10000,120000,10000,47965593973
WLT421245265463,251437733806,Full KYC,Active,14-06-2021,ESC2975255504174,200000,200000,200000,2400000,200000,42889134129656
WLT184697904591,692913841475,Full KYC,Active,06-11-2024,ESC5169649886653,200000,200000,200000,2400000,200000,196281543334
WLT010719724245,811889757270,Full KYC,Active,12-08-2023,ESC9881739176601,200000,200000,200000,2400000,200000,50750608651
WLT627824529908,365418866864,Full KYC,Active,20-12-2022,ESC2784848439676,200000,200000,200000,2400000,200000,996677203631
WLT605150044701,934086093150,Minimum KYC,Active,16-01-2024,ESC5207641135281,10000,10000,10000,120000,10000,6808733889835
WLT720863517745,715136229683,Full KYC,Active,16-07-2020,ESC6597877662089,200000,200000,200000,2400000,200000,76977540578
WLT329297725159,628409369928,Full KYC,Active,04-03-2024,ESC8734421434799,200000,200000,200000,2400000,200000,22153594587532
WLT709965542632,522236242460,Minimum KYC,Active,09-10-2022,ESC6590330951886,10000,10000,10000,120000,10000,1530941708830
WLT983982683747,837144522878,Full KYC,Active,10-01-2024,ESC1734741200578,200000,200000,200000,2400000,200000,9160985728862
WLT388113368783,290467882249,Full KYC,Active,05-01-2022,ESC4933540123353,200000,200000,200000,2400000,200000,490081953614
WLT590859856936,133654765951,Minimum KYC,Active,01-07-2024,ESC2275657396459,10000,10000,10000,120000,10000,287787910185
WLT037192598405,157455620003,Minimum KYC,Active,06-05-2020,ESC1518368829258,10000,10000,10000,120000,10000,59653354974170
WLT196116275116,338903624978,Full KYC,Active,10-11-2024,ESC8236762179879,200000,200000,200000,2400000,200000,726924470236
WLT714478130996,486182046649,Full KYC,Active,31-08-2022,ESC5142504465875,200000,200000,200000,2400000,200000,9278202412293
WLT432284318889,944549660339,Full KYC,Suspended,24-12-2024,ESC8508786659866,200000,200000,200000,2400000,200000,6074947161776
WLT682302363312,597191117776,Minimum KYC,Active,20-05-2024,ESC7776094665262,10000,10000,10000,120000,10000,9276339861728
WLT632140377505,732974646287,Full KYC,Active,09-03-2020,ESC4013740561598,200000,200000,200000,2400000,200000,61979205827
WLT827331410821,478949723603,Full KYC,Active,27-07-2022,ESC3094497783607,200000,200000,200000,2400000,200000,99808083972704
WLT882750641038,828704549845,Full KYC,Active,20-01-2021,ESC7249245364455,200000,200000,200000,2400000,200000,685216138923
WLT662648731421,752807674652,Minimum KYC,Active,25-07-2022,ESC7578494860529,10000,10000,10000,120000,10000,3342711513352
WLT527540164988,547282843500,Minimum KYC,Active,07-05-2024,ESC3321268674584,10000,10000,10000,120000,10000,185908121569
WLT681104501347,346409568721,Minimum KYC,Active,20-08-2023,ESC1104403330199,10000,10000,10000,120000,10000,42180667111
WLT430653141460,113095593318,Minimum KYC,Active,12-02-2023,ESC3094109967449,10000,10000,10000,120000,10000,40013649501
WLT214386185754,848304042541,Full KYC,Active,10-01-2024,ESC9588697603650,200000,200000,200000,2400000,200000,9266050257320874
WLT616369827664,628292074099,Minimum KYC,Active,22-01-2020,ESC8178469564485,10000,10000,10000,120000,10000,9242483822920
